symbol,placetime,account
601600.SSE,2017-07-20T05:40:29.712Z,SVG6137.004
600104.SSE,2017-07-11T18:56:02.595Z,EXY6350.001
601288.SSE,2017-07-11T18:42:54.160Z,EXY6350.001
600428.SSE,2017-07-12T01:42:47.454Z,CXC7051.001
601390.SSE,2017-07-12T01:37:51.797Z,CXC7051.001
601288.SSE,2017-07-11T06:27:21.233Z,SNS6333.001
601600.SSE,2017-07-07T03:21:49.128Z,VMY7013.003
601600.SSE,2017-07-07T03:21:49.242Z,SVG6137.004
601600.SSE,2017-07-07T03:21:21.521Z,VMY7013.003
601600.SSE,2017-07-07T03:20:57.728Z,VMY7013.003
601600.SSE,2017-07-07T03:20:50.429Z,VMY7013.003
601600.SSE,2017-07-07T03:20:39.337Z,VMY7013.003
600428.SSE,2017-07-03T05:02:08.478Z,SVG6137.009
